index	document_id	file_name
001	AUD-938	001_AUD-938.txt
002	SOP-843	002_SOP-843.txt
003	CIR-574	003_CIR-574.txt
004	REG-768	004_REG-768.txt
005	CX-572	005_CX-572.txt
006	KYC-143	006_KYC-143.txt
007	AUD-223	007_AUD-223.txt
008	FEE-237	008_FEE-237.txt
009	FAQ-969	009_FAQ-969.txt
010	CX-966	010_CX-966.txt
011	DBS-344	011_DBS-344.txt
012	SOP-915	012_SOP-915.txt
013	LOG-233	013_LOG-233.txt
014	FEE-845	014_FEE-845.txt
015	ARC-817	015_ARC-817.txt
016	CIR-205	016_CIR-205.txt
017	PRIV-299	017_PRIV-299.txt
018	LOG-967	018_LOG-967.txt
019	LOG-176	019_LOG-176.txt
020	FAQ-930	020_FAQ-930.txt
